_tid_,timestamp,value,seasonal,trend,resid,thr1,thr2
3295,3295.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3296,3296.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3297,3297.0,0.16,-0.0099999999999999,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3298,3298.0,0.16,-0.0049999999999999,0.16,0.0049999999999999,-0.2616495891895856,0.2270711099211401
3299,3299.0,0.16,-0.0099999999999999,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3300,3300.0,0.15,-0.0099999999999999,0.16,-1.3877787807814457e-17,-0.2616495891895856,0.2270711099211401
3301,3301.0,0.16,-0.0099999999999999,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3302,3302.0,0.16,-0.0099999999999999,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3303,3303.0,0.16,-0.0099999999999999,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3304,3304.0,0.16,-0.0049999999999999,0.16,0.0049999999999999,-0.2616495891895856,0.2270711099211401
3305,3305.0,0.16,-0.0099999999999999,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3306,3306.0,0.15,0.0,0.16,-0.01,-0.2616495891895856,0.2270711099211401
3307,3307.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3308,3308.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3309,3309.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3310,3310.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3311,3311.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3312,3312.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3313,3313.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3314,3314.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3315,3315.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3316,3316.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3317,3317.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3318,3318.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3319,3319.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3320,3320.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3321,3321.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3322,3322.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3323,3323.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3324,3324.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3325,3325.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3326,3326.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3327,3327.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3328,3328.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3329,3329.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3330,3330.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3331,3331.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3332,3332.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3333,3333.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3334,3334.0,0.16,0.0,0.16,0.0,-0.2616495891895856,0.2270711099211401
3335,3335.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3336,3336.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3337,3337.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3338,3338.0,0.17,0.01,0.16,0.0,-0.2616495891895856,0.2270711099211401
3339,3339.0,0.17,0.0099999999999999,0.16,2.0816681711721685e-17,-0.2616495891895856,0.2270711099211401
3340,3340.0,0.17,0.01,0.16,6.938893903907228e-18,-0.2616495891895856,0.2270711099211401
3341,3341.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3342,3342.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3343,3343.0,0.17,0.0099999999999999,0.16,2.0816681711721685e-17,-0.2616495891895856,0.2270711099211401
3344,3344.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3345,3345.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3346,3346.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3347,3347.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3348,3348.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3349,3349.0,0.17,0.0125,0.16,-0.0025,-0.2616495891895856,0.2270711099211401
3350,3350.0,0.18,0.0199999999999999,0.16,0.0,-0.2616495891895856,0.2270711099211401
